SUBGROEPID,SUBGROEPCODE
5771757,PBA-VG-VG/2C1
5771758,PBA-VG-VG/2C1
5771864,PBA-VG-VG/2C1
5771865,PBA-VG-VG/2C1
5771866,PBA-VG-VG/2C1
5771867,PBA-VG-VG/2C1
5771868,PBA-VG-VG/2C1
5771955,PBA-VG-VG/2D1
5771958,PBA-VG-VG/2D1
5771960,PBA-VG-VG/2D1
5771961,PBA-VG-VG/2D1
5771962,PBA-VG-VG/2D1
5771965,PBA-VG-VG/2D1
5771966,PBA-VG-VG/2D1
5772073,PBA-VG-VG/2D1
5772074,PBA-VG-VG/2D1
5772075,PBA-VG-VG/2D1
5772076,PBA-VG-VG/2D1
5772077,PBA-VG-VG/2D1
5772747,PBA-BM-MK/1SEM2
5773269,PBA-BM-MK/2A1
5773607,PBA-BM-RE/2SEM2
5774043,PBA-BM-RE/3SEM2
5774228,PBA-BM-MK/1C
5774229,PBA-BM-MK/1C
5774231,PBA-BM-MK/1C
5774232,PBA-BM-MK/1C
5775109,PBA-BM-RE/2B
5775112,PBA-BM-RE/2B
5775117,PBA-BM-RE/2B
5775118,PBA-BM-RE/2B
5775120,PBA-BM-RE/2B
5775121,PBA-BM-RE/2B
5775125,PBA-BM-RE/2B
5775293,PBA-BM-RE/2B
5775294,PBA-BM-RE/2B
5775414,PBA-BM-RE/3B
5775415,PBA-BM-RE/3B
5775419,PBA-BM-RE/3B
5775424,PBA-BM-RE/3B
5775427,PBA-BM-RE/3B
5775428,PBA-BM-RE/3B
5775430,PBA-BM-RE/3B
5776416,PBA-BM-MK/VT/MS/JAAR
5776852,PBA-EM-AM/3B1
5776857,PBA-EM-AM/3B1
5776897,PBA-EM-KL/3A1
5776929,PBA-EM-KL/3A1
5776944,PBA-HOUT/2A
5776947,PBA-HOUT/2A
5776950,PBA-HOUT/2A
5776954,PBA-HOUT/2A
5776958,PBA-HOUT/2A
5776964,PBA-HOUT/2A
5776978,PBA-HOUT/2A
5776981,PBA-HOUT/2A
5776997,PBA-VG-LAM/1A
5776999,PBA-VG-LAM/1A
5777000,PBA-VG-LAM/1A
5777001,PBA-VG-LAM/1A
5777002,PBA-VG-LAM/1A
5777004,PBA-VG-LAM/1A
5777007,PBA-VG-LAM/1A
5777010,PBA-VG-LAM/1A
5777014,PBA-VG-LAM/1A
5777016,PBA-VG-LAM/1A
5777035,PBA-VG-LAM/1A
5777060,PBA-VG-LAM/1A
5777195,PBA-HOUT/2B
5777198,PBA-HOUT/2B
5777201,PBA-HOUT/2B
5777205,PBA-HOUT/2B
5777209,PBA-HOUT/2B
5777215,PBA-HOUT/2B
5777216,PBA-HOUT/2B
5777229,PBA-HOUT/2B
5777231,PBA-HOUT/2B
5777232,PBA-HOUT/2B
5777233,PBA-HOUT/2B
5777237,PBA-HOUT/2C
5777240,PBA-HOUT/2C
5777243,PBA-HOUT/2C
5777247,PBA-HOUT/2C
5777251,PBA-HOUT/2C
5777257,PBA-HOUT/2C
5777258,PBA-HOUT/2C
5777268,PBA-HOUT/2C
5777269,PBA-HOUT/2C
5777271,PBA-HOUT/2C
5777273,PBA-HOUT/2C
5777274,PBA-HOUT/2C
5777275,PBA-HOUT/2C
5777279,PBA-HOUT/2D
5777282,PBA-HOUT/2D
5777285,PBA-HOUT/2D
5777289,PBA-HOUT/2D
5777293,PBA-HOUT/2D
5777299,PBA-HOUT/2D
5777310,PBA-HOUT/2D
5777313,PBA-HOUT/2D
5777315,PBA-HOUT/2D
5777316,PBA-HOUT/2D
5777317,PBA-HOUT/2D
5777332,PBA-VG-LAM/1C
5777334,PBA-VG-LAM/1C
5777335,PBA-VG-LAM/1C
5777336,PBA-VG-LAM/1C
5777340,PBA-VG-LAM/1C
5777341,PBA-VG-LAM/1C
5777342,PBA-VG-LAM/1C
5777345,PBA-VG-LAM/1C
5777349,PBA-VG-LAM/1C
5777351,PBA-VG-LAM/1C
5777393,PBA-VG-LAM/1C
5777395,PBA-VG-LAM/1C
5777481,PBA-LA/1SEM2
5777483,PBA-LA/1SEM2
5777506,PBA-VDK/3SEM1
5777508,PBA-VDK/3SEM1
5777584,PBA-LO/1B
5777589,PBA-LO/1B
5777590,PBA-LO/1B
5777597,PBA-LO/1B
5777603,PBA-LO/1B
5777604,PBA-LO/1B
5777605,PBA-LO/1B
5777607,PBA-LO/1B
5777608,PBA-LO/1B
5777659,PBA-LO/2A
5777660,PBA-LO/2A
5777694,PBA-LO/2A
5777696,PBA-LO/2A
5777697,PBA-LO/2A
5777699,PBA-LO/2A
5777700,PBA-LO/2A
5778394,PBA-BMLT-FBT/3A
5778416,PBA-BMLT-FBT/3A
5778417,PBA-BMLT-FBT/3A
5778420,PBA-BMLT-FBT/3A
5778446,PBA-BMLT-FBT/3B
5778477,PBA-BMLT-FBT/3B
5778479,PBA-BMLT-FBT/3B
5778498,PBA-BMLT-FBT/3B
5778501,PBA-BMLT-FBT/3B
5778502,PBA-BMLT-FBT/3B
5778514,PBA-SW/2A3
5778516,PBA-SW/2A3
5778518,PBA-SW/2A3
5778519,PBA-SW/2A3
5778573,PBA-SW/2A3
5778574,PBA-SW/2A3
5778585,PBA-SW/2A3
5778586,PBA-SW/2A3
5778622,PBA-SW/2A4
5778641,PBA-SW/2A4
5778643,PBA-SW/2A4
5778644,PBA-SW/2A4
5778645,PBA-SW/2A4
5778646,PBA-SW/2A4
5778699,PBA-SW/2A4
5778700,PBA-SW/2A4
5778701,PBA-SW/2A4
5778714,PBA-SW/2A4
5778749,PBA-SW/2A5
5778768,PBA-SW/2A5
5778770,PBA-SW/2A5
5778771,PBA-SW/2A5
5778773,PBA-SW/2A5
5778827,PBA-SW/2A5
5778828,PBA-SW/2A5
5778876,PBA-SW/2A6
5778897,PBA-SW/2A6
5778898,PBA-SW/2A6
5778953,PBA-SW/2A6
5778955,PBA-SW/2A6
5778966,PBA-SW/2A6
5779078,PBA-VG-VG/2A1
5779079,PBA-VG-VG/2A1
5779080,PBA-VG-VG/2A1
5779081,PBA-VG-VG/2A1
5779169,PBA-VG-VG/2B1
5779172,PBA-VG-VG/2B1
5779174,PBA-VG-VG/2B1
5779175,PBA-VG-VG/2B1
5779176,PBA-VG-VG/2B1
5779179,PBA-VG-VG/2B1
5779181,PBA-VG-VG/2B1
5779182,PBA-VG-VG/2B1
5779183,PBA-VG-VG/2B1
5779949,PBA-BM-RE/VT/KM
5779957,PBA-BM-RE/VT/KM
5779964,PBA-BM-RE/VT/KM
5779980,PBA-BM-RE/VT/KM
5779986,PBA-BM-RE/VT/KM
5780131,PBA-BM-RE/1A
5780135,PBA-BM-RE/1A
5780137,PBA-BM-RE/1A
5780139,PBA-BM-RE/1A
5780142,PBA-BM-RE/1A
5780150,PBA-BM-RE/1A
5780151,PBA-BM-RE/1A
5780154,PBA-BM-RE/1A
5780158,PBA-BM-RE/1A
5780160,PBA-BM-RE/1A
5781354,PBA-BM-ML/3A
5781356,PBA-BM-ML/3A
5781357,PBA-BM-ML/3A
5781358,PBA-BM-ML/3A
5781359,PBA-BM-ML/3A
5781378,PBA-BM-ML/3A
5781398,PBA-BM-ML/3A
5781721,PBA-BM-MK/1C
5782237,PBA-BM-RE/2A
5782238,PBA-BM-RE/2A
5782240,PBA-BM-RE/2A
5782246,PBA-BM-RE/2A
5782247,PBA-BM-RE/2A
5782248,PBA-BM-RE/2A
5782249,PBA-BM-RE/2A
5782251,PBA-BM-RE/2A
5782253,PBA-BM-RE/2A
5782421,PBA-BM-RE/2A
5782422,PBA-BM-RE/2A
5782512,PBA-BM-RE/2B
5782578,PBA-BM-RE/2B
5782945,PBA-TIN-TI/VC/VT/PROG/S2
5783390,BNB-ZM/1
5783392,BNB-ZM/1
5783395,BNB-ZM/2
5783397,BNB-ZM/2
5783458,GRAD-EMS-MRT/AVOND/4A
5783579,PBA-BM-AF/AO/VT/AA/1SEM1
5783600,PBA-BM-AF/AO/VT/AA/1SEM1
